Extension,Count,Percentage,Category,Examples
5ti.pdf,22,0.00%,Unkategorisiert,Bootsvol.5ti.pdf; Bootsvol.5ti.pdf; Bootsvol.5ti.pdf
5co.pdf,22,0.00%,Unkategorisiert,Bootsvol.5co.pdf; Bootsvol.5co.pdf; Bootsvol.5co.pdf
2co.pdf,22,0.00%,Unkategorisiert,Bootsvol.2co.pdf; Bootsvol.2co.pdf; Bootsvol.2co.pdf
cha.rtf,22,0.00%,Unkategorisiert,RUDSANAL.CHA.rtf; RUDSANAL.CHA.rtf; RUDSANAL.CHA.rtf
9au.rtf,22,0.00%,Unkategorisiert,Ot34_401.9au.rtf; Ot34_401.9au.rtf; Ot34_401.9au.rtf
rdm.rtf,22,0.00%,Unkategorisiert,Scoreboa.rdm.rtf; Scoreboa.rdm.rtf; Scoreboa.rdm.rtf
epa.pdf,22,0.00%,Unkategorisiert,Gmgctitl.epa.pdf; Gmgctitl.epa.pdf; Gmgctitl.epa.pdf
10.rtf,22,0.00%,Unkategorisiert,Sol_ulr_.10.rtf; Sol_ulr_.10.rtf; Sol_ulr_.10.rtf
pcs.pdf,22,0.00%,Unkategorisiert,Ulr22loo.pcs.pdf; Ulr22loo.pcs.pdf; Ulr22loo.pcs.pdf
add.rtf,22,0.00%,Unkategorisiert,Logic_rd.add.rtf; Logic_rd.add.rtf; Logic_rd.add.rtf
lo_.rtf,22,0.00%,Unkategorisiert,Ulr_3_so.lo_.rtf; Ulr_3_so.lo_.rtf; Ulr_3_so.lo_.rtf
ess.pdf,22,0.00%,Unkategorisiert,Ot17exp1.ess.pdf; Ot17exp1.ess.pdf; Ot17exp1.ess.pdf
ne.rtf,22,0.00%,Unkategorisiert,We_are_o.ne.rtf; We_are_o.ne.rtf; We_are_o.ne.rtf
eo3.rtf,22,0.00%,Unkategorisiert,Sob_15_s.eo3.rtf; Sob_15_s.eo3.rtf; Sob_15_s.eo3.rtf
o2j.rtf,22,0.00%,Unkategorisiert,Correctt.o2j.rtf; Correctt.o2j.rtf; Correctt.o2j.rtf
oat.rtf,22,0.00%,Unkategorisiert,Solulr4r.oat.rtf; Solulr4r.oat.rtf; Solulr4r.oat.rtf
ove.pdf,22,0.00%,Unkategorisiert,Ot34_40c.ove.pdf; Ot34_40c.ove.pdf; Ot34_40c.ove.pdf
ndt.rtf,22,0.00%,Unkategorisiert,Historya.ndt.rtf; Historya.ndt.rtf; Historya.ndt.rtf
r.pdf,22,0.00%,Unkategorisiert,CONDS_CB.R.pdf; CONDS_CB.R.pdf; CONDS_CB.R.pdf
cop.pdf,22,0.00%,Unkategorisiert,92chart1.cop.pdf; 92chart1.cop.pdf; 92chart1.cop.pdf
tit.rtf,22,0.00%,Unkategorisiert,Levelvii.tit.rtf; Levelvii.tit.rtf; Levelvii.tit.rtf
ost.rtf,22,0.00%,Unkategorisiert,Runningp.ost.rtf; Runningp.ost.rtf; Runningp.ost.rtf
rh.rtf,22,0.00%,Unkategorisiert,Gmc_99_l.rh.rtf; Gmc_99_l.rh.rtf; Gmc_99_l.rh.rtf
ief.rtf,22,0.00%,Unkategorisiert,Admin_br.ief.rtf; Admin_br.ief.rtf; Admin_br.ief.rtf
ocs.rtf,22,0.00%,Unkategorisiert,Ot_3_sol.ocs.rtf; Ot_3_sol.ocs.rtf; Ot_3_sol.ocs.rtf
ead.rtf,22,0.00%,Unkategorisiert,Xenuscas.ead.rtf; Xenuscas.ead.rtf; Xenuscas.ead.rtf
rpo.rtf,22,0.00%,Unkategorisiert,Newcivpu.rpo.rtf; Newcivpu.rpo.rtf; Newcivpu.rpo.rtf
obs.rtf,22,0.00%,Unkategorisiert,11d_tech.obs.rtf; 11d_tech.obs.rtf; 11d_tech.obs.rtf
mag.rtf,22,0.00%,Unkategorisiert,Order_of.mag.rtf; Order_of.mag.rtf; Order_of.mag.rtf
nep.pdf,22,0.00%,Unkategorisiert,Ot1721ju.nep.pdf; Ot1721ju.nep.pdf; Ot1721ju.nep.pdf
ean.rtf,22,0.00%,Unkategorisiert,Prmococl.ean.rtf; Prmococl.ean.rtf; Prmococl.ean.rtf
es.rtf,22,0.00%,Unkategorisiert,Gmgc_not.es.rtf; Gmgc_not.es.rtf; Gmgc_not.es.rtf
tin.rtf,22,0.00%,Unkategorisiert,Gmgcstar.tin.rtf; Gmgcstar.tin.rtf; Gmgcstar.tin.rtf
23n.rtf,22,0.00%,Unkategorisiert,Javiercs.23n.rtf; Javiercs.23n.rtf; Javiercs.23n.rtf
bil.rtf,22,0.00%,Unkategorisiert,Ulr23via.bil.rtf; Ulr23via.bil.rtf; Ulr23via.bil.rtf
ta_.rtf,22,0.00%,Unkategorisiert,More_onl.ta_.rtf; More_onl.ta_.rtf; More_onl.ta_.rtf
ay8.rtf,22,0.00%,Unkategorisiert,Debriefm.ay8.rtf; Debriefm.ay8.rtf; Debriefm.ay8.rtf
pcs.rtf,22,0.00%,Unkategorisiert,Ulr22lo1.pcs.rtf; Ulr22lo1.pcs.rtf; Ulr22lo1.pcs.rtf
ugs.rtf,22,0.00%,Unkategorisiert,Preonepl.ugs.rtf; Preonepl.ugs.rtf; Preonepl.ugs.rtf
e.rtf,22,0.00%,Unkategorisiert,Fz_decre.e.rtf; Fz_decre.e.rtf; Fz_decre.e.rtf
sis.rtf,22,0.00%,Unkategorisiert,Tough_dc.sis.rtf; Tough_dc.sis.rtf; Tough_dc.sis.rtf
cog.rtf,22,0.00%,Unkategorisiert,Gmc_big_.cog.rtf; Gmc_big_.cog.rtf; Gmc_big_.cog.rtf
dec.pdf,22,0.00%,Unkategorisiert,COIN_CS5.DEC.pdf; COIN_CS5.DEC.pdf; COIN_CS5.DEC.pdf
t17.rtf,22,0.00%,Unkategorisiert,Gmc_12_o.t17.rtf; Gmc_12_o.t17.rtf; Gmc_12_o.t17.rtf
0ma.pdf,22,0.00%,Unkategorisiert,Ot12_132.0ma.pdf; Ot12_132.0ma.pdf; Ot12_132.0ma.pdf
rdc.rtf,22,0.00%,Unkategorisiert,Clonecyc.rdc.rtf; Clonecyc.rdc.rtf; Clonecyc.rdc.rtf
ef3.rtf,22,0.00%,Unkategorisiert,Adminbri.ef3.rtf; Adminbri.ef3.rtf; Adminbri.ef3.rtf
urs.rtf,22,0.00%,Unkategorisiert,Gmgradco.urs.rtf; Gmgradco.urs.rtf; Gmgradco.urs.rtf
cle.rtf,22,0.00%,Unkategorisiert,Ot40cocy.cle.rtf; Ot40cocy.cle.rtf; Ot40cocy.cle.rtf
wme.rtf,22,0.00%,Unkategorisiert,Rachartl.wme.rtf; Rachartl.wme.rtf; Rachartl.wme.rtf
itl.pdf,22,0.00%,Unkategorisiert,Ot34_40t.itl.pdf; Ot34_40t.itl.pdf; Ot34_40t.itl.pdf
doc.txt,22,0.00%,Unkategorisiert,5911C08 MC_06 Final Lecture.doc.txt; 5911C08 1STMACC_06 Final Lecture.doc.txt; 5911C08 1STMACC_06 Final Lecture.doc.txt
9.rtf,22,0.00%,Unkategorisiert,Sol_ulr_.9.rtf; Sol_ulr_.9.rtf; Sol_ulr_.9.rtf
pen.rtf,22,0.00%,Unkategorisiert,Level7ta.pen.rtf; Level7ta.pen.rtf; Level7ta.pen.rtf
nov.rtf,22,0.00%,Unkategorisiert,Body_sw1.nov.rtf; Body_sw1.nov.rtf; Body_sw1.nov.rtf
1ju.rtf,22,0.00%,Unkategorisiert,Ot17_182.1ju.rtf; Ot17_182.1ju.rtf; Ot17_182.1ju.rtf
eex.rtf,22,0.00%,Unkategorisiert,Titlepag.eex.rtf; Titlepag.eex.rtf; Titlepag.eex.rtf
o1a.rtf,22,0.00%,Unkategorisiert,Sob_20se.o1a.rtf; Sob_20se.o1a.rtf; Sob_20se.o1a.rtf
ton.rtf,22,0.00%,Unkategorisiert,Marianne.ton.rtf; Marianne.ton.rtf; Marianne.ton.rtf
ecr.rtf,22,0.00%,Unkategorisiert,Non_intd.ecr.rtf; Non_intd.ecr.rtf; Non_intd.ecr.rtf
e19.rtf,22,0.00%,Unkategorisiert,Titlepag.e19.rtf; Titlepag.e19.rtf; Titlepag.e19.rtf
oop.rtf,22,0.00%,Unkategorisiert,Ulr_21_l.oop.rtf; Ulr_21_l.oop.rtf; Ulr_21_l.oop.rtf
ow.png,22,0.00%,Unkategorisiert,Down_arr.ow.PNG; Down_arr.ow.PNG; Down_arr.ow.PNG
gm.pdf,22,0.00%,Unkategorisiert,Gum_10_p.gm.pdf; Gum_10_p.gm.pdf; Gum_10_p.gm.pdf
ote.rtf,22,0.00%,Unkategorisiert,Excalcsn.ote.rtf; Excalcsn.ote.rtf; Excalcsn.ote.rtf
lpr.rtf,22,0.00%,Unkategorisiert,Cardexca.lpr.rtf; Cardexca.lpr.rtf; Cardexca.lpr.rtf
owe.rtf,22,0.00%,Unkategorisiert,Purposep.owe.rtf; Purposep.owe.rtf; Purposep.owe.rtf
8.rtf,22,0.00%,Unkategorisiert,Sol_ulr_.8.rtf; Sol_ulr_.8.rtf; Sol_ulr_.8.rtf
ssi.rtf,22,0.00%,Unkategorisiert,Advancea.ssi.rtf; Advancea.ssi.rtf; Advancea.ssi.rtf
eo4.rtf,22,0.00%,Unkategorisiert,Sob_16_s.eo4.rtf; Sob_16_s.eo4.rtf; Sob_16_s.eo4.rtf
ric.rtf,22,0.00%,Unkategorisiert,Anothert.ric.rtf; Anothert.ric.rtf; Anothert.ric.rtf
lug.rtf,22,0.00%,Unkategorisiert,Findrunp.lug.rtf; Findrunp.lug.rtf; Findrunp.lug.rtf
ovc.rtf,22,0.00%,Unkategorisiert,Bodysw1n.ovc.rtf; Bodysw1n.ovc.rtf; Bodysw1n.ovc.rtf
s21.rtf,21,0.00%,Unkategorisiert,Falsecog.s21.rtf; Falsecog.s21.rtf; Falsecog.s21.rtf
wrd,21,0.00%,Unkategorisiert,L10PROGM.WRD; L10PROGM.WRD; L10PROGM.WRD
ght.rtf,21,0.00%,Unkategorisiert,Extstrai.ght.rtf; Extstrai.ght.rtf; Extstrai.ght.rtf
lea.rtf,21,0.00%,Unkategorisiert,R6ewforc.lea.rtf; R6ewforc.lea.rtf; R6ewforc.lea.rtf
rai.doc,21,0.00%,Unkategorisiert,Tb11theg.rai.doc; Tb11theg.rai.doc; Tb11theg.rai.doc
c.rtf,21,0.00%,Unkategorisiert,Powerpro.c.rtf; Powerpro.c.rtf; Powerpro.c.rtf
0ju.rtf,21,0.00%,Unkategorisiert,Ot34_351.0ju.rtf; Ot34_351.0ju.rtf; Ot34_351.0ju.rtf
part2.rar,20,0.00%,Unkategorisiert,The Summary Course Lectures(HCL Or The Dawn of Immortality Or Milestone One)('97 Tape) '52.part2.rar; Transcripts.part2.rar; 5110 Thought Emotion and Effort.part2.rar
rie.rtf,20,0.00%,Unkategorisiert,Ot14_16b.rie.rtf; Ot14_16b.rie.rtf; Ot14_16b.rie.rtf
erz,20,0.00%,Unkategorisiert,INHALTSV.ERZ; INHALTSV.ERZ; INHALTSV.ERZ
srd.rtf,20,0.00%,Unkategorisiert,OT14___S.SRD.rtf; OT14___S.SRD.rtf; OT14___S.SRD.rtf
l.rtf,20,0.00%,Unkategorisiert,THE_GRAI.L.rtf; THE_GRAI.L.rtf; THE_GRAI.L.rtf
lic,20,0.00%,Unkategorisiert,vdk10.lic; vdk10.lic; vdk10.lic
part04.rar,19,0.00%,Unkategorisiert,Scientology_Materials.part04.rar; OCA.part04.rar; OCA.part04.rar
wpg,19,0.00%,Unkategorisiert,ES6.WPG; EINSCHR6.WPG; EINSCHR1.WPG
part03.rar,19,0.00%,Unkategorisiert,Lectures.part03.rar; Scientology_Materials.part03.rar; OCA.part03.rar
ein.rtf,19,0.00%,Unkategorisiert,INTROTOB.EIN.rtf; INTROTOB.EIN.rtf; INTROTOB.EIN.rtf
part06.rar,19,0.00%,Unkategorisiert,Lectures.part06.rar; Publications.part06.rar; OCA.part06.rar
st.rtf,19,0.00%,Unkategorisiert,Gmc_ckli.st.rtf; Gmc_ckli.st.rtf; Gmc_ckli.st.rtf
part02.rar,19,0.00%,Unkategorisiert,New Vols PDF Interactive.part02.rar; Lectures.part02.rar; OCA.part02.rar
bin,19,0.00%,Unkategorisiert,layout.bin; layout.bin; layout.bin
rre,19,0.00%,Unkategorisiert,EXCALIBU.RRE; EXCALIBU.RRE; EXCALIBU.RRE
cop.rtf,19,0.00%,Unkategorisiert,Ot141516.cop.rtf; Ot141516.cop.rtf; Ot141516.cop.rtf
sco.rtf,19,0.00%,Unkategorisiert,OTLRCARD.SCO.rtf; OTLRCARD.SCO.rtf; OTLRCARD.SCO.rtf
part05.rar,19,0.00%,Unkategorisiert,Lectures.part05.rar; Publications.part05.rar; ScnTech-Russian.part05.rar
pa.rtf,19,0.00%,Unkategorisiert,Prestat_.pa.rtf; Prestat_.pa.rtf; Prestat_.pa.rtf
webm,18,0.00%,🎬 Video,AZK - Die Evolution des Geldbildes incl  Film über den Goldschmied Fabian ! (Nicolas Hofer).webm; Scientology Leader David Miscavige Lies About Book Sales and Use (March 2009).webm; Aa Dianetics  The Original Thesis   Dianetics & Scientology    Bridge Publications  Inc.webm
doc.zip,18,0.00%,Unkategorisiert,EPOC_42_-_Rons_Journal_68.doc.zip; EPOC_42_-_Rons_Journal_68.doc.zip; EPOC_17_Pro_Course_of_July_1954.doc.zip
tol,18,0.00%,Unkategorisiert,THESCIEN.TOL; THESCIEN.TOL; EX-SCIE4.TOL
std,18,0.00%,Unkategorisiert,vdk10.std; vdk10.std; vdk10.std
ure.rtf,18,0.00%,Unkategorisiert,UFO_LECT.URE.rtf; UFO_LECT.URE.rtf; UFO_LECT.URE.rtf
ppt,18,0.00%,Unkategorisiert,Poster und Vorträge veranst12.ppt; Postulatprozessing_1.ppt; Schreiben mit Latex veranst4.ppt
dic,18,0.00%,Unkategorisiert,BENUTZER.DIC; bses.dic; BSES.DIC
b10.rtf,18,0.00%,Unkategorisiert,Exerpt_t.b10.rtf; Exerpt_t.b10.rtf; Exerpt_t.b10.rtf
cnt.gif,18,0.00%,Unkategorisiert,top100.cnt.gif; top100.cnt.gif; top100.cnt.gif
lid,18,0.00%,Unkategorisiert,setup.lid; setup.lid; setup.lid
ex_,18,0.00%,Unkategorisiert,_INST32I.EX_; _INST32I.EX_; _INST32I.EX_
ght,17,0.00%,Unkategorisiert,12THEFLI.GHT; 12THEFLI.GHT; 06THEFLI.GHT
prg.rtf,17,0.00%,Unkategorisiert,S9_WORLD.PRG.rtf; S9_WORLD.PRG.rtf; S9_WORLD.PRG.rtf
_style.wld,17,0.00%,Unkategorisiert,._style.wld; ._style.wld; ._style.wld
out,17,0.00%,Unkategorisiert,nohup.out; nohup.out; 200108-nohup.out
0.html,17,0.00%,Unkategorisiert,4.0.html; 4.0.html; 4.0.html
opd,17,0.00%,Unkategorisiert,tb7.opd; Clearing Success Congress.opd; Clearing Success Congress.opd
asp,17,0.00%,Unkategorisiert,CACHE210.ASP; CACHE210.ASP; AUDIT.ASP
cmp,17,0.00%,Unkategorisiert,vdk10.cmp; vdk10.cmp; vdk10.cmp
gif.gif,17,0.00%,Unkategorisiert,navprev.gif.gif; links.gif.gif; naxindex.gif.gif
_data.trn,17,0.00%,Unkategorisiert,._data.trn; ._data.trn; ._data.trn
dict,17,0.00%,Unkategorisiert,SVGViewer.dict; SVGViewer.dict; SVGViewer.dict
o.rtf,17,0.00%,Unkategorisiert,SEC9INTR.O.rtf; SEC9INTR.O.rtf; SEC9INTR.O.rtf
stc,17,0.00%,Unkategorisiert,VDK10.STC; VDK10.STC; VDK10.STC
thd,17,0.00%,Unkategorisiert,vdk10.thd; vdk10.thd; vdk10.thd
tag,17,0.00%,Unkategorisiert,DATA.TAG; DATA.TAG; DATA.TAG
syx,17,0.00%,Unkategorisiert,vdk10.syx; vdk10.syx; vdk10.syx
svg,17,0.00%,🖼️ Bilder,SVGAbout.svg; SVGAbout.svg; SVGAbout.svg
_qt4.dll,16,0.00%,Unkategorisiert,._QT4.dll; ._QT4.dll; ._QT4.dll
roo.rtf,16,0.00%,Unkategorisiert,Briefint.roo.rtf; Briefint.roo.rtf; Briefint.roo.rtf
_aform.js,16,0.00%,Unkategorisiert,._aform.js; ._aform.js; ._aform.js
_setup.lid,16,0.00%,Unkategorisiert,._setup.lid; ._setup.lid; ._setup.lid
wp,16,0.00%,Unkategorisiert,SUCCESS2.WP; HAUSTUER.WP; EINSCHR2.WP
_pdf.tlb,16,0.00%,Unkategorisiert,._pdf.tlb; ._pdf.tlb; ._pdf.tlb
rud.rtf,16,0.00%,Unkategorisiert,Leveliii.rud.rtf; Leveliii.rud.rtf; Leveliii.rud.rtf
mpeg,16,0.00%,Unkategorisiert,Scientology and the Clearwater Police.mpeg; UFO - Inspecting The Twin Towers  (9-9-2001).mpeg; nasa - moon ufo - earth ufo.mpeg
hw.rtf,16,0.00%,Unkategorisiert,Phx_cbr_.hw.rtf; Phx_cbr_.hw.rtf; Phx_cbr_.hw.rtf
me.rtf,16,0.00%,Unkategorisiert,Units_ti.me.rtf; Units_ti.me.rtf; Units_ti.me.rtf
html_c,16,0.00%,Unkategorisiert,1952_PerceptionOfTruth.html_c; 1952_PerceptionOfTruth.html_c; 1952_PerceptionOfTruth-2.html_c
pnm,16,0.00%,Unkategorisiert,image-0003.pnm; image-0002.pnm; image-0003.pnm
ru.htm,16,0.00%,Unkategorisiert,travel.ru.htm; travel.ru.htm; ïðèêîëüíûå ×åðíóøíûå êàðòèíêè íà ñàéòå fomenko.ru.htm
_vdk10.thd,16,0.00%,Unkategorisiert,._vdk10.thd; ._vdk10.thd; ._vdk10.thd
_in.rtf,16,0.00%,Unkategorisiert,P_pgames._in.rtf; P_pgames._in.rtf; P_pgames._in.rtf
ita,16,0.00%,Unkategorisiert,Search.ITA; Weblink.ITA; EScript.ITA
nni.rtf,16,0.00%,Unkategorisiert,Theoryru.nni.rtf; Theoryru.nni.rtf; Theoryru.nni.rtf
tie.rtf,16,0.00%,Unkategorisiert,Twoabili.tie.rtf; Twoabili.tie.rtf; Twoabili.tie.rtf
_ab.rtf,16,0.00%,Unkategorisiert,The_most._ab.rtf; The_most._ab.rtf; The_most._ab.rtf
1.xls,16,0.00%,Unkategorisiert,WUS_Ambstats_2009_V2-9.1.xls; WUS_Ambstats_2009_V2-2.1.xls; WUS_Ambstats_2009_V2-17.1.xls
cgi.html,16,0.00%,Unkategorisiert,main.cgi.html; main.cgi.html; editip.cgi.html
pm5,16,0.00%,Unkategorisiert,OCANEW.PM5; OCANEW.PM5; Power - Solo.pm5
iff.rtf,16,0.00%,Unkategorisiert,Cr___pld.iff.rtf; Cr___pld.iff.rtf; Cr___pld.iff.rtf
sid.rtf,16,0.00%,Unkategorisiert,Valencev.sid.rtf; Valencev.sid.rtf; Valencev.sid.rtf
htaccess,16,0.00%,Unkategorisiert,.htaccess; .htaccess; .htaccess
hx.rtf,16,0.00%,Unkategorisiert,Theory_p.hx.rtf; Theory_p.hx.rtf; Theory_p.hx.rtf
do.rtf,16,0.00%,Unkategorisiert,Clear_an.do.rtf; Clear_an.do.rtf; Clear_an.do.rtf
mp2,16,0.00%,🎵 Audio,J00___5M.MP2; J00___5M.MP2; J00___5M.MP2
eni.rtf,16,0.00%,Unkategorisiert,Ckshtpho.eni.rtf; Ckshtpho.eni.rtf; Ckshtpho.eni.rtf
_16.rtf,16,0.00%,Unkategorisiert,Ot_14_15._16.rtf; Ot_14_15._16.rtf; Ot_14_15._16.rtf
4pt.rtf,16,0.00%,Unkategorisiert,Axioms_1.4pt.rtf; Axioms_1.4pt.rtf; Axioms_1.4pt.rtf
ngo.rtf,16,0.00%,Unkategorisiert,Crauditi.ngo.rtf; Crauditi.ngo.rtf; Crauditi.ngo.rtf
oc.rtf,16,0.00%,Unkategorisiert,Power_pr.oc.rtf; Power_pr.oc.rtf; Power_pr.oc.rtf
los.rtf,16,0.00%,Unkategorisiert,Phoenixg.los.rtf; Phoenixg.los.rtf; Phoenixg.los.rtf
sco.pdf,16,0.00%,Unkategorisiert,Ot13note.sco.pdf; Ot13note.sco.pdf; Ot13note.sco.pdf
esi.rtf,16,0.00%,Unkategorisiert,Phoenixr.esi.rtf; Phoenixr.esi.rtf; Phoenixr.esi.rtf
gle.rtf,16,0.00%,Unkategorisiert,Krctrian.gle.rtf; Krctrian.gle.rtf; Krctrian.gle.rtf
que.rtf,16,0.00%,Unkategorisiert,Phxcriti.que.rtf; Phxcriti.que.rtf; Phxcriti.que.rtf
rud.doc,16,0.00%,Unkategorisiert,OVERT.RUD.doc; OVERT.RUD.doc; OVERT.RUD.doc
ues.rtf,16,0.00%,Unkategorisiert,Phoenixq.ues.rtf; Phoenixq.ues.rtf; Phoenixq.ues.rtf
epo.rtf,16,0.00%,Unkategorisiert,Resistiv.epo.rtf; Resistiv.epo.rtf; Resistiv.epo.rtf
out.doc,16,0.00%,Unkategorisiert,R.OUT.doc; R.OUT.doc; R.OUT.doc
memo.txt,15,0.00%,Unkategorisiert,CODES.MEMO.txt; RA3.MEMO.txt; RAL6.MEMO.txt
dcr,15,0.00%,Unkategorisiert,CACHE623.DCR; CACHE623.DCR; ENTERED2.DCR
x32,15,0.00%,Unkategorisiert,MIX32.X32; MIX32.X32; PICTVIEW.X32
_ph.rtf,15,0.00%,Unkategorisiert,Ssforots._ph.rtf; Ssforots._ph.rtf; Ssforots._ph.rtf
e.s.p.html,15,0.00%,Unkategorisiert,A.E.S.P.html; A.E.S.P.html; A.E.S.P.html
mp3.mp3,15,0.00%,Unkategorisiert,"19570413 LCNRH-9 Gruppenprozessing, Betonung auf Kontrolle, Teil II.mp3.mp3; 19570413 LCNRH-9 Gruppenprozessing, Betonung auf Kontrolle, Teil II.mp3.mp3; 591109bb 1MACC-02b Demonstration of An Assist24 min (50), Gold, ProTRs Edition.mp3.mp3"
pdf.tmp,15,0.00%,Unkategorisiert,Ability 3 Major (1955).pdf.tmp; Scientology Exhibit - XI Fiche 1-4.pdf.tmp; Scientology Exhibit - XI Fiche 1-4.pdf.tmp
7z,15,0.00%,📦 Archive,Emeter - Drills.7z; Child Scientology.7z; PRODVINU.7z
h.html,15,0.00%,Unkategorisiert,AUX-P.H.html; AUX-P.H.html; AUX-P.H.html
jbf,15,0.00%,Unkategorisiert,pspbrwse.jbf; pspbrwse.jbf; pspbrwse.jbf
sci,15,0.00%,Unkategorisiert,WHYISTHE.SCI; WHYISTHE.SCI; 9197-NEW.SCI
3.txt,15,0.00%,Unkategorisiert,1.3.txt; 1.3.txt; 1.3.txt
t12.rtf,15,0.00%,Unkategorisiert,_cksht_o.t12.rtf; _cksht_o.t12.rtf; _cksht_o.t12.rtf
cco.rtf,15,0.00%,Unkategorisiert,Powerpro.cco.rtf; Powerpro.cco.rtf; Powerpro.cco.rtf
py.rtf,15,0.00%,Unkategorisiert,Reviv_co.py.rtf; Reviv_co.py.rtf; Reviv_co.py.rtf
ms.rtf,15,0.00%,Unkategorisiert,Scn_axio.ms.rtf; Scn_axio.ms.rtf; Scn_axio.ms.rtf
doc.pdf,14,0.00%,Unkategorisiert,5911C08 MC_06 Final Lecture.doc.pdf; 5911C08 MC_06 Final Lecture.doc.pdf; 5911C08 MC_06 Final Lecture.doc.pdf
opt,14,0.00%,Unkategorisiert,FRBatch.opt; FRBatch.opt; FRBatch.opt
divx,14,0.00%,Unkategorisiert,RV2of4.divx; 1 EINDREAM.divx; 1 EINDREAM.divx
html_cmp_c,14,0.00%,Unkategorisiert,LGC1953_Tapes-2.html_cmp_c; LGC1953_Tapes.html_cmp_c; 1952_PerceptionOfTruth-2.html_cmp_c
dbf,14,0.00%,📊 Daten,QUESTION.DBF; QUESTION.DBF; QUESTION.DBF
cie,14,0.00%,Unkategorisiert,ESSAYON1.CIE; ESSAYON1.CIE; RI-806IS.CIE
_09.rtf,14,0.00%,Unkategorisiert,COPYOFTB._09.rtf; COPYOFTB._09.rtf; COPYOFTB._09.rtf
efi,14,0.00%,Unkategorisiert,ADMINBRI.EFI; ADMINBRI.EFI; ADMINBR2.EFI
ews,14,0.00%,Unkategorisiert,FACTNETN.EWS; FACTNETN.EWS; FACTNETN.EWS
e.pdf,14,0.00%,Unkategorisiert,"5312c14 2ACC 23A Cause and Effect, Assignment of Cause, G.E.pdf; 5312c14 2ACC 23A Cause and Effect, Assignment of Cause, G.E.pdf; 5312c14 2ACC 23A Cause and Effect, Assignment of Cause, G.E.pdf"
scn,13,0.00%,Unkategorisiert,DEATHSIN.SCN; DEATHSIN.SCN; Beyond Psychology MP.SCN
pls,13,0.00%,Unkategorisiert,Factor.pls; Default.PLS; Default.PLS
e.txt.txt,13,0.00%,Unkategorisiert,._5312c14 2acc-23a  Cause and Effect -Assignment of Cause- G.E.txt.txt; 5312c14 2acc-23a  Cause and Effect -Assignment of Cause- G.E.txt.txt; 5312c14 2acc-23a  Cause and Effect -Assignment of Cause- G.E.txt.txt
wri,13,0.00%,Unkategorisiert,Umfrage zu Gewinne und Verlust.wri; TROM II.wri; PICTURES.WRI
eml.txt,13,0.00%,Unkategorisiert,WG  Sirius.eml.TXT; 061024 Gross ._. Scn-Kirche.eml.txt; Hubbard wrote the 'Russian Texbook' and later used it non-medical ideas and methods..eml.txt
pps,13,0.00%,Unkategorisiert,шкала тонов.pps; Динамики.pps; ESTA_FOTO_ES_MUY_RARA_1__1__2__1__2__1_....pps
de_,13,0.00%,Unkategorisiert,WPXX02TO.DE_; WPXX02TO.DE_; WPXX02TO.DE_
dhi,13,0.00%,Unkategorisiert,THESPYA2.DHI; THESPYA2.DHI; THESPYA4.DHI
wk4,12,0.00%,Unkategorisiert,Übersichtstabelle zur Verfolgung von Prospekts.wk4; Akten sortiert nach Orgboard.wk4; Zielgruppen-Entscheidungs-Matrix (per Dep 4).wk4
rp,12,0.00%,Unkategorisiert,P6504074.RP; P6504074.RP; P790901.RP
cgi.jpg,12,0.00%,Unkategorisiert,rle.cgi.jpg; rle.cgi.jpg; rle.cgi.jpg
fm,12,0.00%,Unkategorisiert,700615B tercer PR.FM; 710319 HCOB.fm; 710719-1hcob CS Series 52 Internos.fm
01.pdf,12,0.00%,Unkategorisiert,Technical Dictionary V1.01.pdf; Technical Dictionary V1.01.pdf; Technical Dictionary V1.01.pdf
nfo.txt,12,0.00%,Unkategorisiert,L Ron Hubbard - 1202 Mouthpiece.nfo.txt; L Ron Hubbard - 1207 False Cargo.nfo.txt; L Ron Hubbard - 1110 Sky Birds Dare.nfo.txt
cwk_copy,12,0.00%,Unkategorisiert,Basics_of_Auditing_#2.cwk_copy; Basics_of_Auditing_#2.cwk_copy; Basics_of_Auditing_#2.cwk_copy
ogi,12,0.00%,Unkategorisiert,SCIENTOL.OGI; SCIENTOL.OGI; SCIENTO1.OGI
jpg.1,12,0.00%,Unkategorisiert,bk-1.jpg.1; bk-1.jpg.1; bk-1.jpg.1
erp,12,0.00%,Unkategorisiert,THEE-ME3.ERP; THEE-ME3.ERP; THEE-ME3.ERP
vbx,12,0.00%,Unkategorisiert,THREED.VBX; THREED.VBX; THREED.VBX
_intro.htm,11,0.00%,Unkategorisiert,._intro.htm; ._intro.htm; ._intro.htm
1980.pdf,11,0.00%,Unkategorisiert,redvol13.1980.pdf; redvol13.1980.pdf; redvol13.1980.pdf
e.txt,11,0.00%,Unkategorisiert,5312c14 2acc 23a Cause and Effect -Assignment of Cause- G.E.txt; 5312c14 2acc 23a Cause and Effect -Assignment of Cause- G.E.txt; 5312c14 2acc 23a Cause and Effect -Assignment of Cause- G.E.txt
part01.exe,11,0.00%,Unkategorisiert,OCA.part01.exe; OCA.part01.exe; OCA.part01.exe
wpd,11,0.00%,Unkategorisiert,RJ 67.wpd; RJ 67.wpd; RJ 67.wpd
lev,11,0.00%,Unkategorisiert,THEUPPER.LEV; THEUPPER.LEV; THEUPPER.LEV
